Date,High,Low,Open,Close,Volume,Adj Close
2021-02-05,9940.0,9556.0,9780.0,9722.2001953125,922561.0,9719.84375
2021-02-08,10110.0,9738.0498046875,9750.0,10021.0498046875,985855.0,10018.6201171875
2021-02-09,10068.0,9882.0,10067.0,9941.650390625,512607.0,9939.240234375
2021-02-10,10354.599609375,9901.0,9901.0,10227.9501953125,1430667.0,10225.470703125
2021-02-11,10417.900390625,10105.0,10105.0,10216.650390625,715538.0,10214.173828125
2021-02-12,10331.150390625,10168.0,10250.0,10278.7998046875,380285.0,10276.3076171875
2021-02-15,10579.0,10280.0,10330.2001953125,10537.7001953125,536406.0,10535.1455078125
2021-02-16,10532.0,10361.0,10500.0,10460.599609375,358604.0,10458.0634765625
2021-02-17,10498.7998046875,10112.2001953125,10420.0,10185.650390625,582259.0,10183.181640625
2021-02-18,10310.0,10135.0,10310.0,10198.9501953125,434741.0,10196.4775390625
2021-02-19,10427.650390625,10140.0,10150.0,10250.4501953125,623343.0,10247.9658203125
2021-02-22,10249.2001953125,9960.150390625,10230.0,10000.599609375,426908.0,9998.17578125
2021-02-23,10195.0,9929.150390625,10051.0,10008.650390625,342610.0,10006.224609375
2021-02-24,10250.0,10015.0498046875,10030.0,10199.599609375,269976.0,10197.126953125
2021-02-25,10377.9501953125,10131.599609375,10340.0,10264.4501953125,354802.0,10261.9619140625
2021-02-26,10114.7001953125,9600.0,9950.0,9648.599609375,846505.0,9646.2607421875
2021-03-01,9848.599609375,9613.7001953125,9799.0,9774.0498046875,322437.0,9771.6806640625
2021-03-02,9965.0,9779.099609375,9850.0,9877.0,297001.0,9874.60546875
2021-03-03,10444.9501953125,9890.400390625,9926.400390625,10395.599609375,504122.0,10393.080078125
2021-03-04,10280.0,10077.75,10150.0,10129.9501953125,412117.0,10127.494140625
2021-03-05,10161.0,9900.0498046875,10080.0,9958.099609375,355126.0,9955.685546875
2021-03-08,10045.650390625,9805.2998046875,9970.0,9839.099609375,264007.0,9836.71484375
2021-03-09,10119.9501953125,9860.2001953125,10000.0,9969.150390625,306211.0,9966.7333984375
2021-03-10,10094.7001953125,9930.599609375,10025.0,9991.4501953125,244632.0,9989.0283203125
2021-03-12,10216.099609375,9840.0,10081.5,9934.099609375,454348.0,9931.69140625
2021-03-15,9969.0,9544.0,9969.0,9689.0498046875,545913.0,9686.701171875
2021-03-16,9785.650390625,9585.0,9725.0,9613.2998046875,370587.0,9610.9697265625
2021-03-17,9661.849609375,9480.0498046875,9630.0,9525.099609375,293449.0,9522.791015625
2021-03-18,9735.0,9372.0,9600.0,9430.150390625,401135.0,9427.8642578125
2021-03-19,9489.849609375,9211.599609375,9350.0,9440.650390625,488126.0,9438.3623046875
2021-03-22,9494.9501953125,9312.0498046875,9450.0,9405.849609375,293029.0,9403.5693359375
2021-03-23,9506.599609375,9382.2998046875,9424.0,9405.2001953125,296483.0,9402.919921875
2021-03-24,9378.650390625,9179.25,9370.0,9202.0498046875,335439.0,9199.8193359375
2021-03-25,9250.0,8960.0498046875,9225.0,9057.5498046875,382008.0,9055.3544921875
2021-03-26,9507.0,9140.0,9140.0,9467.4501953125,678636.0,9465.1552734375
2021-03-30,9645.0,9440.0498046875,9547.0,9502.349609375,356511.0,9500.0458984375
2021-03-31,9715.599609375,9450.0,9512.349609375,9668.599609375,424140.0,9666.255859375
2021-04-01,9826.0,9667.5,9730.0,9789.5,310065.0,9787.126953125
2021-04-05,9763.900390625,9150.0,9760.0,9481.650390625,612166.0,9479.3515625
2021-04-06,9625.0,9475.0498046875,9551.0,9519.5,344125.0,9517.1923828125
